"index","fileName","status","acceptedAs","candidateCount","reason"
"1","-2022-01-16-17.31.27_136220716561e40a52d395e.jpg","pass","positive","5","candidate count matches visible nails; high-resolution overlay visually reviewed"
"2","-2022-01-16-17.32.24_14865833961e3f33f15e4e.jpg","pass","positive","5","v3 candidate covers all visible nail plates without obvious background contamination; high-resolution contact sheet visually reviewed"
"3","-2022-01-16-17.33.16_16788849361e4261e11255.jpg","pass","positive","5","candidate count matches visible nails; high-resolution overlay visually reviewed"
"4","-2022-01-16-19.13.13_130717900561e3feb6dea97.jpg","pass","positive","5","cross-resolution consensus covers all 5 visible nail plates; original-resolution overlay visually reviewed"
"5","-2022-01-16-22.23.01_86396604061e42c5663eec.png","pass","positive","5","candidate count matches visible nails; high-resolution overlay visually reviewed"
"6","-2023-08-06-14.42.37_40712667864cf412ac5c04-991x1024.jpg","pass","positive","10","candidate count matches all visible nails; high-resolution overlay visually reviewed"
"7","-2023-08-06-14.42.50_135764628264cf41332bfaa-1016x1024.jpg","pass","positive","10","candidate count matches all visible nails; high-resolution overlay visually reviewed"
"8","-2023-08-06-14.43.34_87901967164cf413baf0de-1024x882.jpg","pass","positive","10","v3 candidate covers all visible nail plates without obvious background contamination; high-resolution contact sheet visually reviewed"
"9","-2023-08-06-14.45.11_116187332364cf4188268a1-1022x1024.jpg","pass","positive","7","candidate count matches all visible nails; high-resolution overlay visually reviewed"
"10","-2023-08-06-14.55.19_127362700664cf4512ce8f4-1014x1024.jpg","pass","positive","9","v3 high-recall conf20 candidate covers all visible nail plates without obvious background contamination; high-resolution contact sheet visually reviewed"
"11","-2023-08-06-14.59.19_27285705564cf451ba86a4-1024x1021.jpg","pass","positive","11","v3 high-recall conf20 candidate covers all visible nail plates without obvious background contamination; high-resolution contact sheet visually reviewed"
"12","-2023-08-06-14.59.27_84426486564cf45261b926-1024x1022.jpg","pass","positive","8","v3 candidate covers all visible nail plates without obvious background contamination; high-resolution contact sheet visually reviewed"
"13","-2023-08-06-15.00.00_26901435664cf45304fb1d-1024x1024.jpg","pass","positive","10","v3 candidate covers all visible nail plates without obvious background contamination; high-resolution contact sheet visually reviewed"
"14","-2023-08-06-19.14.11_29284708864cf80e8dad3e-1021x1024.jpg","pass","positive","8","candidate count matches all visible nails; high-resolution overlay visually reviewed"
"15","-2023-08-06-19.14.32_185832256364cf80f2ac554-1014x1024.jpg","pass","positive","8","candidate count matches all visible nails; high-resolution overlay visually reviewed"
"16","-2023-08-06-19.15.12_5176554164cf80fb423f1-1015x1024.jpg","pass","positive","5","candidate count matches visible nails; high-resolution overlay visually reviewed"
"17","-2023-08-06-19.15.30_212108924564cf810459e84-1024x1001.jpg","pass","positive","8","candidate count matches all visible nails; high-resolution overlay visually reviewed"
"18","-2023-08-06-19.23.30_182458238864cf830482139-1024x1016.jpg","pass","positive","8","candidate count matches all visible nails; high-resolution overlay visually reviewed"
"19","-2023-08-06-19.31.37_201230495964cf8577773bb-1024x844.jpg","pass","positive","8","candidate count matches all visible nails; high-resolution overlay visually reviewed"
"20","-2023-08-06-19.31.49_9391442164cf8580bea50-1024x773.jpg","pass","positive","9","candidate count matches all visible nails; high-resolution overlay visually reviewed"
"21","-2023-08-06-19.32.21_22532801864cf8588659e3-1017x1024.jpg","pass","positive","10","candidate count matches visible nails; high-resolution overlay visually reviewed"
"22","-2023-08-06-19.32.32_133848737464cf85909a276-1024x1021.jpg","pass","positive","9","candidate count matches all visible nails; high-resolution overlay visually reviewed"
"23","-2023-08-06-19.33.51_136799368864cf859893c8c-936x1024.jpg","pass","positive","10","candidate count matches visible nails; high-resolution overlay visually reviewed"
"24","-2023-08-06-19.34.46_166890785964cf85a8af4db-1024x1016.jpg","pass","positive","7","candidate count matches all visible nails; high-resolution overlay visually reviewed"
"25","-_1400308954697837b667255.jpg","pass","positive","9","v3 high-recall conf20 candidate covers all visible nail plates without obvious background contamination; high-resolution contact sheet visually reviewed"
"26","-_224832368697836db93ea3-819x1024.jpg","drop","excluded","9","source rejected: right-edge nail plate is cropped; segmentation cannot recover missing pixels"
"27","-_725197325697837365af0b.jpg","drop","excluded","6","source rejected: both edge nail plates are cropped; segmentation cannot recover missing pixels"
"28","-nekogel_official-_16549684369783828b8b7b.jpg","pass","positive","8","candidate count matches all visible nails; high-resolution overlay visually reviewed"
"29","-the_favorigel_kr-_2019989392697833e2930c9.jpg","pass","positive","7","v6 conf20 candidate covers all 7 visible nail plates without duplicate or background contamination; high-resolution overlay reviewed"
"30","-the_favorigel_kr-x-nail_gamseong-_55523228769783490457e0.jpg","pass","positive","7","candidate count matches all visible nails; high-resolution overlay visually reviewed"
"31","1-_1581885688697838dad0750.jpg","pass","positive","9","v3 high-recall conf20 candidate covers all visible nail plates without obvious background contamination; high-resolution contact sheet visually reviewed"
"32","2021-01-29-3.37.23_16034556916013bb8382be0_166587987661e431aac3c38.jpg","pass","positive","4","v3 candidate covers all visible nail plates without obvious background contamination; high-resolution contact sheet visually reviewed"
"33","340850638_776654050491920_7039948216290097633_n_158567653664c221250c775-878x1024.jpg","pass","positive","11","v3 high-recall conf20 candidate covers all visible nail plates without obvious background contamination; high-resolution contact sheet visually reviewed"
