fileName,reviewStatus,acceptedAsTrainingTruth,reviewNote
0132d6d2f15c7eeb06c6b20b2b9899db.jpg,pass,true,5个甲面轮廓均贴合且未把手指皮肤并入
02a57340bbd2ef39c02e66b503f077a0.jpg,rework,false,浅色甲面与皮肤粘连且部分提示位置偏移
075757517fbb6e42840328dcfd1c984b.jpg,rework,false,多处整根手指被分割为甲面
19e1ff892bc03296309118564517395c.jpg,rework,false,浅色甲面边界失败并包含大面积皮肤
4a0e76a068f83cac81efed7aaeeb8e96.jpg,rework,false,第3个提示落在背景且存在漏标
4fd43a5c9f4923aa81867575ace2a875.jpg,rework,false,多处甲面与手指皮肤粘连
586430bda51171eda6acac9b78044e86.jpg,rework,false,第2至第8处存在皮肤并入或轮廓越界
8c4793356e5af0d460bc7967919fd6ba.jpg,rework,false,第1第2第5处包含大面积手指和包体
916243c8917244d2b399ae2674266b6b.jpg,rework,false,第5至第8处主要分割为皮肤区域
9a0c13d0485ade01a084dbfeff865d99.jpg,rework,false,第2第3第4第7处包含手指或背景
aaa6fab381af1c61b619a9807d52a1f0.jpg,rework,false,多处甲面与手指粘连且边界过宽
ca2d14573bfe3c0c83cdc3100e074b3c.jpg,rework,false,前3处较好但第4第5处落在背景或手部
cb7a371d6826a7e71a49ca4bf1ce2382.jpg,rework,false,饰钻附近分割断裂且多处包含皮肤
cefb43f688de010c12d6a22c058188ed.jpg,rework,false,第5第6处甲面粘连且边界互相侵入
d59b3facac1d4ce8507d1de491a583d6.jpg,rework,false,仅第2处较好其余包含皮肤或背景
d91d43318c1f87f3c3118f42de25de57.jpg,rework,false,多处轮廓包含手指皮肤且交叠
df5b39c10a2185218d507bfd6a9f26df.jpg,rework,false,第2至第8处多处粘连和越界
e0bd54d05d6cdad6e2adedb784be875c.jpg,rework,false,多处包含手指皮肤且第9处严重越界
ec02f0d2830587d57caadd728bdebe82.jpg,rework,false,大部分轮廓包含皮肤且互相重叠
ecd34e2fb116522263394fd443fab987.jpg,rework,false,提示位置与真实甲面大范围错位
f03408b03bcc28080f07f84d2507868b.jpg,rework,false,深色甲面部分可用但第4第7处为背景或皮肤
f5e4fc362a7b4115cbf3607d22d87e72.jpg,rework,false,多处包含皮肤且第7处严重越界
