fileName,nailIndex,source,status,reasons,areaRatio,boundsContainment,centerInside,bounds,maximumPeerBoundsIou
0132d6d2f15c7eeb06c6b20b2b9899db.jpg,1,sam2-v5-box-center,pass,,0.4544,0.9977,True,"[497.0, 614.0, 669.0, 840.0]",0.0079
0132d6d2f15c7eeb06c6b20b2b9899db.jpg,2,sam2-v5-box-center,pass,,0.5043,1.0,True,"[666.0, 622.0, 866.0, 835.0]",0.0267
0132d6d2f15c7eeb06c6b20b2b9899db.jpg,3,sam2-v5-box-center,pass,,0.5149,0.885,True,"[779.0, 812.0, 967.0, 994.0]",0.0742
0132d6d2f15c7eeb06c6b20b2b9899db.jpg,4,sam2-v5-box-center,pass,,0.3978,1.0,True,"[811.0, 972.0, 962.0, 1064.0]",0.0742
0132d6d2f15c7eeb06c6b20b2b9899db.jpg,5,sam2-v5-box-center,pass,,0.5638,1.0,True,"[529.0, 870.0, 773.0, 1038.0]",0.0
02a57340bbd2ef39c02e66b503f077a0.jpg,1,sam2-v5-box-center,pass,,0.5026,1.0,True,"[164.0, 476.0, 401.0, 590.0]",0.0366
02a57340bbd2ef39c02e66b503f077a0.jpg,2,sam2-v5-box-center,pass,,0.4905,0.9897,True,"[74.0, 556.0, 208.0, 809.0]",0.0252
02a57340bbd2ef39c02e66b503f077a0.jpg,3,sam2-v5-box-center,pass,,0.4753,0.9609,True,"[240.0, 570.0, 328.0, 830.0]",0.0366
02a57340bbd2ef39c02e66b503f077a0.jpg,4,sam2-v5-box-center,pass,,0.3832,1.0,True,"[393.0, 577.0, 482.0, 828.0]",0.0021
02a57340bbd2ef39c02e66b503f077a0.jpg,5,sam2-v5-box-center,pass,,0.3626,1.0,True,"[521.0, 611.0, 586.0, 823.0]",0.0
02a57340bbd2ef39c02e66b503f077a0.jpg,6,sam2-v5-box-center,pass,,0.2453,1.0,True,"[640.0, 329.0, 788.0, 502.0]",0.0
02a57340bbd2ef39c02e66b503f077a0.jpg,7,sam2-v5-box-center,pass,,0.208,0.9899,True,"[796.0, 304.0, 948.0, 567.0]",0.0
02a57340bbd2ef39c02e66b503f077a0.jpg,8,sam2-v5-box-center,suspect,candidate_overlaps_peer,0.4006,1.0,True,"[955.0, 463.0, 1054.0, 744.0]",0.5591
02a57340bbd2ef39c02e66b503f077a0.jpg,9,sam2-v5-box-center,suspect,candidate_overlaps_peer,0.3248,0.8102,True,"[965.0, 459.0, 1054.0, 640.0]",0.5591
02a57340bbd2ef39c02e66b503f077a0.jpg,10,sam2-v5-box-center,pass,,0.39,1.0,True,"[1004.0, 396.0, 1196.0, 518.0]",0.0806
075757517fbb6e42840328dcfd1c984b.jpg,1,sam2-v5-box-center,pass,,0.5092,1.0,True,"[144.0, 696.0, 288.0, 899.0]",0.0272
